Full Name,Company Name,Domain,Email,Context,Signal
Core Compliance,Core Compliance,corecls.com,,Compliance consulting and outsourced CCO services.,RIA compliance
IMS Compliance,IMS,ims.io,,Compliance software and consulting for advisors.,RIA compliance
Greyline Solutions,Greyline,greylinesolutions.com,,RIA compliance consulting and outsourced CCO.,RIA compliance
Moneta Group,Moneta,monetagroup.com,,RIA with $42.8B AUM. Largest fee-only RIA by AUM.,RIA
Chevy Chase Trust,Chevy Chase Trust,chevychasetrust.com,,Trust company and RIA. $40B+ AUM.,RIA and trust
Fisher Investments,Fisher Investments,fisherinvestments.com,,Investment manager. Large RIA. Ken Fisher founder.,RIA
Edelman Financial Engines,Edelman,edelmanfinancialengines.com,,Large RIA. Merged Edelman and Financial Engines.,RIA
United Capital,United Capital,unitedcp.com,,RIA acquired by Goldman Sachs. Joe Duran founder.,RIA
Brighton Jones,Brighton Jones,brightonjones.com,,RIA focused on purpose-driven wealth. $20B+ AUM.,RIA
Halbert Hargrove,Halbert Hargrove,halberthargrove.com,,RIA in Long Beach California. Independent wealth management.,RIA
Plancorp,Plancorp,plancorp.com,,RIA in St. Louis. Comprehensive financial planning.,RIA
Savant Wealth Management,Savant,savantwealth.com,,RIA focused on evidence-based investing. Midwest focus.,RIA
Homrich Berg,Homrich Berg,homrichberg.com,,RIA in Atlanta. Wealth management and family office.,RIA
NEPC,NEPC,nepc.com,,Investment consulting. OCIO services. $1.47T advisory.,Investment consulting
Cambridge Associates,Cambridge,cambridgeassociates.com,,Investment consulting. Endowment and foundation focus.,Investment consulting
Wilshire,Wilshire,wilshire.com,,Investment consulting and analytics. Indices provider.,Investment consulting
Callan,Callan,callan.com,,Investment consulting. Institutional focus.,Investment consulting
Meketa Investment Group,Meketa,meketa.com,,Investment consulting. OCIO services.,Investment consulting
RVK,RVK,rvkinc.com,,Investment consulting. Institutional investors.,Investment consulting
Rocaton Investment Advisors,Rocaton,rocaton.com,,Investment consulting. Part of Aon.,Investment consulting
Fund Evaluation Group,FEG,feg.com,,Investment consulting. Due diligence specialist.,Investment consulting
DiMeo Schneider,DiMeo Schneider,dimeoschneider.com,,Investment consulting. Part of Fiducient.,Investment consulting
Fiducient Advisors,Fiducient,fiducient.com,,Investment consulting. OCIO services.,Investment consulting
Prime Buchholz,Prime Buchholz,primebuchholz.com,,Investment consulting. OCIO services.,Investment consulting
Alan Biller and Associates,Alan Biller,alanbiller.com,,OCIO provider. $70B+ discretionary assets.,OCIO
Commonfund,Commonfund,commonfund.org,,Investment management for nonprofits. OCIO.,OCIO
Clearbrook,Clearbrook,clearbrook.com,,OCIO provider. Outsourced CIO services.,OCIO
Angeles Investment Advisors,Angeles,angelesinvestments.com,,OCIO and investment consulting.,OCIO
Hall Capital Partners,Hall Capital,hallcapital.com,,Investment management. Family office heritage.,Investment management
Makena Capital,Makena,makenacapital.com,,Investment management. Endowment model.,Investment management
Investure,Investure,investure.com,,Investment management. OCIO for foundations.,OCIO
Fund Evaluation Group,FEG,feg.com,,Due diligence and manager research.,Investment research
Pavilion,Pavilion,pavilioncorp.com,,Alternatives research and investment consulting.,Investment consulting
Verus,Verus,verusinvestments.com,,Investment consulting. OCIO services.,Investment consulting
AndCo Consulting,AndCo,andco.com,,Investment consulting. Retirement plan specialist.,Investment consulting
Mesirow,Mesirow,mesirow.com,,Investment management and consulting. Chicago-based.,Investment management
Northern Trust Asset Management,NTAM,northerntrust.com,,Asset management and OCIO services.,Asset management
Brown Advisory,Brown Advisory,brownadvisory.com,,Investment management. RIA with $165B+ AUM.,RIA
Bernstein Private Wealth,Bernstein,bernstein.com,,Wealth management. Part of AllianceBernstein.,Wealth management
Rockefeller Capital Management,Rockefeller,rockco.com,,Wealth management. Family office heritage.,Wealth management
Bessemer Trust,Bessemer Trust,bessemertrust.com,,Wealth management and family office.,Wealth management
Glenmede,Glenmede,glenmede.com,,Investment and wealth management. Philadelphia-based.,Wealth management
Fiduciary Trust,Fiduciary Trust,fiduciarytrust.com,,Trust company and investment management.,Trust company
Boston Private,Boston Private,bostonprivate.com,,Wealth management. Now part of SVB.,Wealth management
Whittier Trust,Whittier Trust,whittiertrust.com,,Trust company and wealth management.,Trust company
Pitcairn,Pitcairn,pitcairn.com,,Multi-family office and wealth management.,Family office
GenSpring Family Offices,GenSpring,genspring.com,,Multi-family office. Part of SunTrust.,Family office
Tolleson Wealth Management,Tolleson,tollesonwealth.com,,Multi-family office. Dallas-based.,Family office
Pathstone,Pathstone,pathstone.com,,Family office and wealth management.,Family office
Colony Family Offices,Colony,colonyfamilyoffices.com,,Multi-family office. The Colony Group subsidiary.,Family office
BBR Partners,BBR Partners,bfrpartners.com,,Multi-family office. New York-based.,Family office
Geller Family Office Services,Geller,gellerco.com,,Family office services. New York-based.,Family office
Massey Quick Simon,Massey Quick Simon,masseyquicksimon.com,,Multi-family office and investment consulting.,Family office
SCS Financial Services,SCS,scsfinancial.com,,Multi-family office. Boston-based.,Family office
Tiedemann Advisors,Tiedemann,tiedemannadvisors.com,,Wealth management and impact investing.,Wealth management
Aspiriant,Aspiriant,aspiriant.com,,Wealth management. West Coast focus.,Wealth management
Relative Value Partners,RVP,rvpllc.com,,Wealth management. Alternative focus.,Wealth management
Fairview Capital,Fairview Capital,fairviewcapital.com,,Alternative investment manager. Private equity focus.,Alternative investments
Hamilton Lane,Hamilton Lane,hamiltonlane.com,,Alternative investment manager. Private markets.,Alternative investments
Neuberger Berman,Neuberger Berman,nb.com,,Investment manager. Private wealth and institutional.,Investment management
Lazard Asset Management,Lazard,lazardassetmanagement.com,,Asset management. Global equity focus.,Asset management
Silvercrest Asset Management,Silvercrest,silvercrestgroup.com,,Wealth management and institutional investment.,Wealth management
Corient,Corient,corient.com,,Wealth management platform. Private equity backed.,Wealth management
Sanctuary Wealth,Sanctuary,sanctuarywealth.com,,RIA platform. Breakaway broker support.,RIA platform
Kestra Financial,Kestra,kestrafinancial.com,,Wealth management platform. Multiple affiliation models.,Wealth management platform
Atria Wealth Solutions,Atria,atriawealth.com,,Wealth management platform. Multiple channels.,Wealth management platform
Cetera Financial Group,Cetera,cetera.com,,Wealth management network. Multiple broker-dealers.,Wealth management network
Advisor Group,Advisor Group,advisorgroup.com,,Wealth management network. Multiple broker-dealers.,Wealth management network
Osaic,Osaic,osaic.com,,Wealth management platform. Formerly Advisor Group.,Wealth management platform
Avantax,Avantax,avantax.com,,Tax-focused wealth management. CPA channel.,Wealth management
Raymond James Financial Services,RJFS,raymondjames.com,,Broker-dealer and RIA support.,Wealth management
LPL Financial,LPL,lpl.com,,Largest independent broker-dealer. RIA custodian.,Broker-dealer
Commonwealth Financial Network,Commonwealth,commonwealth.com,,Broker-dealer and RIA support. Advisor-owned.,Broker-dealer
Cambridge Investment Research,Cambridge,cir2.com,,Broker-dealer and RIA support.,Broker-dealer
Securities America,Securities America,securitiesamerica.com,,Broker-dealer. Part of Advisor Group.,Broker-dealer
Triad Advisors,Triad,triad-advisors.com,,Broker-dealer. Part of Ladenburg Thalmann.,Broker-dealer
Geneos Wealth Management,Geneos,geneoswealth.com,,Wealth management. Broker-dealer and RIA.,Wealth management
Arkadios Capital,Arkadios,arkadios.com,,Broker-dealer for breakaway advisors.,Broker-dealer
Kovitz,Kovitz,kovitz.com,,Investment management and wealth advisory.,Investment management
Congress Wealth Management,Congress,congresswealth.com,,Wealth management. Boston-based.,Wealth management
Klingenstein Fields,Klingenstein Fields,klingensteinfields.com,,Wealth management. New York-based.,Wealth management
Balentine,Balentine,balentine.com,,Wealth management. Atlanta-based.,Wealth management
RegentAtlantic,RegentAtlantic,regentatlantic.com,,Wealth management. Part of Hightower.,Wealth management
Mariner Wealth Advisors,Mariner,marinerwealthadvisors.com,,Wealth management. $85B+ AUM.,Wealth management
Buckingham Wealth Partners,Buckingham,buckinghamwealth.com,,Wealth management. Part of Focus.,Wealth management
Plante Moran Financial Advisors,Plante Moran,plantemoran.com,,Wealth management. CPA firm affiliate.,Wealth management
CAPTRUST Financial Advisors,CAPTRUST,captrust.com,,Wealth management and retirement plan consulting.,Wealth management
Resources Investment Advisors,Resources,resourcesria.com,,Retirement plan consultant. RIA.,Retirement consulting
NFP Retirement,NFP,nfp.com,,Retirement plan consulting and wealth management.,Retirement consulting
OneDigital,OneDigital,onedigital.com,,Benefits and retirement consulting. RIA.,Benefits consulting
CBIZ,CBIZ,cbiz.com,,Business services including retirement and wealth.,Business services
Hub International,Hub,hubinternational.com,,Insurance brokerage and wealth management.,Insurance and wealth
Lockton Companies,Lockton,lockton.com,,Insurance brokerage. E&O for advisors.,Insurance
Marsh McLennan,Marsh,marsh.com,,Insurance brokerage and risk management.,Insurance
Aon,Aon,aon.com,,Insurance brokerage and investment consulting.,Insurance and consulting
Willis Towers Watson,WTW,wtwco.com,,Insurance brokerage and investment consulting.,Insurance and consulting
Gallagher,Gallagher,ajg.com,,Insurance brokerage. Retirement consulting.,Insurance
NFP,NFP,nfp.com,,Insurance brokerage and benefits consulting.,Insurance
Alera Group,Alera,aleragroup.com,,Insurance and wealth management.,Insurance and wealth
AssuredPartners,AssuredPartners,assuredpartners.com,,Insurance brokerage. Rapid acquirer.,Insurance
PCF Insurance Services,PCF,pcfins.com,,Insurance brokerage network.,Insurance
Risk Strategies,Risk Strategies,risk-strategies.com,,Insurance brokerage and risk management.,Insurance
IMA Financial Group,IMA,imacorp.com,,Insurance brokerage and risk management.,Insurance
Holmes Murphy,Holmes Murphy,holmesmurphy.com,,Insurance brokerage. Employee-owned.,Insurance
EPIC Insurance Brokers,EPIC,epicbrokers.com,,Insurance brokerage. Retail and wholesale.,Insurance
Hylant,Hylant,hylant.com,,Insurance brokerage. Family-owned.,Insurance
Higginbotham,Higginbotham,higginbotham.com,,Insurance brokerage. Texas-based.,Insurance
CBIZ Insurance Services,CBIZ,cbiz.com,,Insurance and employee benefits.,Insurance
Brown & Brown,Brown & Brown,bbinsurance.com,,Insurance brokerage. Publicly traded.,Insurance
Arthur J. Gallagher,Gallagher,ajg.com,,Insurance brokerage and benefits consulting.,Insurance
Truist Insurance,Truist,truist.com,,Insurance distribution. Bank-owned.,Insurance
USI Insurance Services,USI,usi.com,,Insurance brokerage. Private equity backed.,Insurance
Acrisure,Acrisure,acrisure.com,,Insurance brokerage. Rapid acquirer.,Insurance
BroadStreet Partners,BroadStreet,broadstreetpartners.com,,Insurance brokerage holding company.,Insurance
Foundation Risk Partners,Foundation Risk,foundationriskpartners.com,,Insurance brokerage network.,Insurance
Baldwin Risk Partners,Baldwin,baldwinriskpartners.com,,Insurance brokerage. Publicly traded as BRP Group.,Insurance
Relation Insurance Services,Relation,relationinsurance.com,,Insurance brokerage.,Insurance
World Insurance Associates,World,worldinsurance.com,,Insurance brokerage.,Insurance
Patriot Growth Insurance,Patriot,patriotgis.com,,Insurance brokerage. Growth-focused.,Insurance
Alera Group,Alera,aleragroup.com,,Employee benefits and wealth management.,Insurance
OneDigital,OneDigital,onedigital.com,,Employee benefits and HR technology.,Benefits
